Article;Infobox_value;Entity;Sentence
"City Stadium &quot;Besnik Begunca&quot;"; tenants             ;KF Lepenci;" ""City Stadium ""Besnik Begunca"" () is the home ground of [[KF Lepenci]]."" "
"Amira &amp; Sam"; director ;Sean Mullin;" ""Amira & Sam is a 2014 American film written and directed by [[Sean Mullin]] and produced by Terry Leonard, Erich Lochner, and Matt Miller with executive producers James Ponsoldt, Meg Montagnino-Jarrett, and Peter Sobiloff."" "
Alibaba Pictures; parent ;Alibaba Group;" ""Alibaba Pictures Group is a Chinese film company under [[Alibaba Group]]."" "
Alibaba Pictures; subsid ;Amblin Partners;" ""On October 9, 2016, [[Amblin Partners]] struck a deal with Alibaba, in which Alibaba acquired a minority equity stake in the company and will handle marketing, distribution, and merchandising of [[Amblin Partners]] films in China in addition to co-financing Amblin and DreamWorks films worldwide."" "
Zofka Kveder; birth_place  ;Ljubljana;" ""She is considered one of the first Slovene women writers and feministsKveder was born in [[Ljubljana]] and spent most of her childhood in rural Lower Carniola before she was sent to a convent school in [[Ljubljana]]."" "
Centre County Courthouse; location;Bellefonte, Pennsylvania;" ""Centre County Courthouse is a historic courthouse located at [[Bellefonte]], Centre County, Pennsylvania."" "
Gerald Ridley;        birth_place ;Felsted;" ""He was born at [[Felsted]], Essex."" "
Gerald Ridley;        birth_place ;Essex;" ""He was born at Felsted, [[Essex]]."" "
Gerald Ridley;        death_place ;Chignal St James;" ""He was also a member of the Executive Committee at Essex County Cricket Club until his death at [[Chignal St James]], Essex on 12 November 1953."" "
Gerald Ridley;             bowling ;Seam bowling;" ""Ridley was a right-handed batsman who bowled right-arm [[medium pace]]."" "
Gerald Ridley;               club1 ;Essex County Cricket Club;" ""In cricket, Ridley made his first-class debut for [[Essex]] against the Combined Services in 1922."" "
Gerald Ridley;             column1 ;First-class cricket;" ""In cricket, Ridley made his [[first-class]] debut for Essex against the Combined Services in 1922."" "
Alibaba Pictures; parent ;Alibaba Group;" ""Alibaba Pictures Group is a Chinese film company under [[Alibaba Group]]."" "
Alibaba Pictures; subsid ;Amblin Partners;" ""On October 9, 2016, [[Amblin Partners]] struck a deal with Alibaba, in which Alibaba acquired a minority equity stake in the company and will handle marketing, distribution, and merchandising of [[Amblin Partners]] films in China in addition to co-financing Amblin and DreamWorks films worldwide."" "
Gerald Ridley;        birth_place ;Felsted;" ""He was born at [[Felsted]], Essex."" "
Gerald Ridley;        birth_place ;Essex;" ""He was born at Felsted, [[Essex]]."" "
Gerald Ridley;        death_place ;Chignal St James;" ""He was also a member of the Executive Committee at Essex County Cricket Club until his death at [[Chignal St James]], Essex on 12 November 1953."" "
Gerald Ridley;             bowling ;Seam bowling;" ""Ridley was a right-handed batsman who bowled right-arm [[medium pace]]."" "
Gerald Ridley;               club1 ;Essex County Cricket Club;" ""In cricket, Ridley made his first-class debut for [[Essex]] against the Combined Services in 1922."" "
Gerald Ridley;             column1 ;First-class cricket;" ""In cricket, Ridley made his [[first-class]] debut for Essex against the Combined Services in 1922."" "
Your Body's Callin'; Artist         ;R. Kelly;" """"Your Body's Callin"" is a 1994 single by [[R. Kelly]] from his album ""12 Play""."" "
Your Body's Callin'; Album          ;12 Play;" """"Your Body's Callin"" is a 1994 single by R. Kelly from his album ""[[12 Play]]""."" "
Your Body's Callin'; Writer         ;R. Kelly;" """"Your Body's Callin"" is a 1994 single by [[R. Kelly]] from his album ""12 Play""."" "
Animalia (book); author        ;Graeme Base;" ""Animalia is an illustrated children's book by [[Graeme Base]]."" "
Academy Awards; presenter      ;Academy of Motion Picture Arts and Sciences;" ""The Academy Awards, also known as the Oscars, are a set of 24 awards for artistic and technical merit in the American film industry, given annually by the [[Academy of Motion Picture Arts and Sciences]] (AMPAS), to recognize excellence in cinematic achievements as assessed by the Academy's voting membership."" "
Shonichi; Artist ;BNK48;" ""The song has been covered by AKB48's international sister groups in their respective local languages, including the Indonesian version by JKT48, featured on the group's first album ""Heavy Rotation"" released in 2013, and the Thai version by [[BNK48]], released as the group's third single in 2018."" "
Kotgarh Wildlife Sanctuary; governing_body ;Kandhamal district;" ""Kotgarh Wildlife Sanctuary is situated in the Baliguda subdivision of [[Kandhamal district]] of Odisha state in India."" "
