article;amount_values;amount_entities;amount_links;amount_link_article_match
Wikipedia:Featured picture candidates/Keokaradang, Bandarban;0;0;0;
Dollar Tree Inc;0;0;0;
C14 road (Namibia);3;3;0;0
Håkansson, Håkan;0;0;0;
Cenocnemis incurvata;0;0;0;
Telenomus farai;0;0;0;
Category:Cryptocurrency articles by quality;0;0;0;
Margaronia invernalis;0;0;0;
Category:Draft-Class Cryptocurrency articles;0;0;0;
Crystal Brook – Broken Hill railway;0;0;0;
Aferim;0;0;0;
Haile Tilahun Gebremariam;0;0;0;
Avalonbay Communities Reit Inc;0;0;0;
Alibaba Pictures;72;40;5;2
Alibaba Pictures Group;0;0;0;
Alibaba Films Group;0;0;0;
Category:Project-Class Cryptocurrency articles;0;0;0;
Category:Template-Class Cryptocurrency articles;0;0;0;
Category:Portal-Class Cryptocurrency articles;0;0;0;
Category:Disambig-Class Cryptocurrency articles;0;0;0;
Alibaba Films;0;0;0;
Category:Category-Class Cryptocurrency articles;0;0;0;
Category:File-Class Cryptocurrency articles;0;0;0;
Category:NA-Class Cryptocurrency articles;0;0;0;
Wikipedia:Featured picture candidates/Jog Falls, India;0;0;0;
Category:Unassessed Cryptocurrency articles;0;0;0;
Portal:Animation/Did you know/Layout/footer;0;0;0;
Zofka Kveder;18;8;2;1
The Robinson family (disambiguation);0;0;0;
Museum d’Histoire Naturelle Aix en Provence;0;0;0;
Category:Civil crime prevention;0;0;0;
Category:Diemen;0;0;0;
Electrotyper;0;0;0;
Centre County Courthouse;14;13;1;1
Template:Campaignbox Fatimid-Crusader War;0;0;0;
Tingyu Fang;0;0;0;
Bubble Boy (disambiguation);0;0;0;
Category:Aesthetic beauty;0;0;0;
Polarisation (waves);0;0;0;
Template:Campaignbox Seljuk-Crusader War;0;0;0;
Englbert Schücking;0;0;0;
Bustillo (disambiguation);0;0;0;
"C&amp;W (disambiguation)";0;0;0;
Maquarie University;0;0;0;
Büchler (disambiguation);0;0;0;
File:Maharshi Mehi.jpg;0;0;0;
Rio de Janeiro Airport;0;0;0;
Galaxias (Japanese band);0;0;0;
CBX2 (disambiguation);0;0;0;
Template:Campaignbox Zengid-Crusader War;0;0;0;
CCGA (disambiguation);0;0;0;
CFTK (disambiguation);0;0;0;
Wikipedia:WikiProject Military history/Academy/A Beginners Guide to Copyright on Wikipedia;0;0;0;
CKCK (disambiguation);0;0;0;
Precision mechanic;0;0;0;
Category:People from Mahanoy City, Pennsylvania;0;0;0;
Narsinh Maheta Award;0;0;0;
Mitsubishi L-200;0;0;0;
Sukhoi T-8;0;0;0;
Calvin Duncan (disambiguation);0;0;0;
Mitsubishi L-300;0;0;0;
Stadtspital Triemli;0;0;0;
Foreign Policy and United Nations Association of Austria;0;0;0;
Camp Robinson (disambiguation);0;0;0;
Time Off Magazine;0;0;0;
Cang (disambiguation);0;0;0;
Mitsubishi L400;0;0;0;
Cape Darnley (disambiguation);0;0;0;
The University of Texas Health Science Center of Houston;0;0;0;
Carcajou (disambiguation);0;0;0;
University of Texas Health Science Center of Houston;0;0;0;
Wolf Harden;0;0;0;
United Nations Association of Austria;0;0;0;
Schuldt-Jensen;0;0;0;
Carlos Jorge (disambiguation);0;0;0;
Gerald Ridley;36;28;5;6
Lucas Demetrios Papademos;0;0;0;
Castle of San Sebastián (disambiguation);0;0;0;
Castle of Santa Catalina (disambiguation);0;0;0;
Cathedral of Saint Thomas (disambiguation);0;0;0;
UNA-Austria;0;0;0;
Catherine O'Loughlin (disambiguation);0;0;0;
Cecil Denny (disambiguation);0;0;0;
Central Germany (disambiguation);0;0;0;
Elliott W. Montroll;0;0;0;
Central Valley High School (disambiguation);0;0;0;
Template:Campaignbox Hungary 1944-1945;0;0;0;
Chahardangeh District (disambiguation);0;0;0;
Chakradhar (disambiguation);0;0;0;
Cuspicephalus;0;0;0;
Cosmin Muj;31;11;3;0
Changing Horses (disambiguation);0;0;0;
Changeable (disambiguation);0;0;0;
Category:Populated places in Cocke County, Tennessee;0;0;0;
Template:Taxonomy/Cuspicephalus;0;0;0;
Monofenestratan;0;0;0;
Cuspicephalus scarfi;0;0;0;
Alibaba Pictures;72;40;5;
Gerald Ridley;36;28;5;
Your Body's Callin';20;17;8;3
Animalia (book);15;13;3;1
Academy Awards;10;8;1;1
Shonichi;17;12;5;1
Kotgarh Wildlife Sanctuary;37;12;3;1
